CARRIER,DEST,DISTANCE,ORIGIN,Weather,DAY_WEEK,DAY_OF_MONTH,Flight Status,DEP_DELAY
OH,JFK,184,BWI,0,4,1,ontime,0
DH,JFK,213,DCA,0,4,1,ontime,0
DH,LGA,229,IAD,0,4,1,ontime,0
DH,LGA,229,IAD,0,4,1,ontime,0
DH,LGA,229,IAD,0,4,1,ontime,0
DH,JFK,228,IAD,0,4,1,ontime,0
DH,JFK,228,IAD,0,4,1,ontime,3
DH,JFK,228,IAD,0,4,1,ontime,0
DH,JFK,228,IAD,0,4,1,ontime,0
DH,JFK,228,IAD,0,4,1,ontime,9
DH,LGA,229,IAD,0,4,1,ontime,0
DL,JFK,213,DCA,0,4,1,ontime,3
DL,LGA,214,DCA,0,4,1,ontime,2
DL,LGA,214,DCA,0,4,1,ontime,0
DL,LGA,214,DCA,0,4,1,ontime,0
DL,LGA,214,DCA,0,4,1,ontime,0
DL,LGA,214,DCA,0,4,1,ontime,0
MQ,JFK,213,DCA,0,4,1,ontime,0
MQ,JFK,213,DCA,0,4,1,ontime,0
MQ,JFK,213,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
MQ,LGA,214,DCA,0,4,1,ontime,0
UA,LGA,229,IAD,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
US,LGA,214,DCA,0,4,1,ontime,0
RU,EWR,169,BWI,0,4,1,ontime,0
RU,EWR,169,BWI,0,4,1,ontime,0
RU,EWR,169,BWI,0,4,1,ontime,0
RU,EWR,169,BWI,0,4,1,ontime,0
CO,EWR,199,DCA,0,4,1,ontime,0
CO,EWR,199,DCA,0,4,1,ontime,0
DH,EWR,213,IAD,0,4,1,ontime,0
DH,EWR,213,IAD,0,4,1,ontime,0
DH,EWR,213,IAD,0,4,1,ontime,0
DH,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,199,DCA,0,4,1,ontime,0
RU,EWR,199,DCA,0,4,1,ontime,0
RU,EWR,199,DCA,0,4,1,ontime,0
RU,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,213,IAD,0,4,1,ontime,0
RU,EWR,199,DCA,0,4,1,ontime,0
OH,JFK,184,BWI,0,5,2,ontime,0
DH,JFK,213,DCA,0,5,2,ontime,1
DH,LGA,229,IAD,0,5,2,ontime,4
DH,LGA,229,IAD,0,5,2,delayed,76
DH,LGA,229,IAD,0,5,2,ontime,0
DH,LGA,229,IAD,0,5,2,ontime,5
DH,LGA,229,IAD,0,5,2,delayed,197
DH,JFK,228,IAD,0,5,2,ontime,19
DH,JFK,228,IAD,0,5,2,ontime,0
DH,JFK,228,IAD,0,5,2,ontime,0
DH,JFK,228,IAD,0,5,2,ontime,0
DH,JFK,228,IAD,0,5,2,ontime,1
DH,JFK,228,IAD,0,5,2,delayed,185
DH,JFK,228,IAD,0,5,2,ontime,0
DH,LGA,229,IAD,0,5,2,ontime,0
DL,JFK,213,DCA,0,5,2,ontime,3
DL,LGA,214,DCA,0,5,2,ontime,0
DL,LGA,214,DCA,0,5,2,ontime,0
DL,LGA,214,DCA,0,5,2,ontime,0
DL,LGA,214,DCA,0,5,2,ontime,0
DL,LGA,214,DCA,0,5,2,ontime,0
MQ,JFK,213,DCA,0,5,2,ontime,0
MQ,JFK,213,DCA,0,5,2,ontime,0
MQ,JFK,213,DCA,0,5,2,ontime,17
MQ,LGA,214,DCA,0,5,2,ontime,0
MQ,LGA,214,DCA,0,5,2,ontime,0
MQ,LGA,214,DCA,0,5,2,ontime,0
MQ,LGA,214,DCA,0,5,2,ontime,2
MQ,LGA,214,DCA,0,5,2,ontime,0
UA,LGA,229,IAD,0,5,2,ontime,0
US,LGA,214,DCA,0,5,2,ontime,0
US,LGA,214,DCA,0,5,2,ontime,0
US,LGA,214,DCA,0,5,2,ontime,0
US,LGA,214,DCA,0,5,2,ontime,0
US,LGA,214,DCA,0,5,2,ontime,0
US,LGA,214,DCA,0,5,2,ontime,0
US,LGA,214,DCA,0,5,2,ontime,0
US,LGA,214,DCA,0,5,2,ontime,0
RU,EWR,169,BWI,0,5,2,ontime,0
RU,EWR,169,BWI,0,5,2,ontime,0
RU,EWR,169,BWI,0,5,2,ontime,0
RU,EWR,169,BWI,0,5,2,ontime,1
CO,EWR,199,DCA,0,5,2,ontime,0
CO,EWR,199,DCA,0,5,2,ontime,1
CO,EWR,199,DCA,0,5,2,ontime,0
DH,EWR,213,IAD,0,5,2,ontime,0
DH,EWR,213,IAD,0,5,2,delayed,105
DH,EWR,213,IAD,0,5,2,delayed,82
DH,EWR,213,IAD,0,5,2,ontime,0
RU,EWR,199,DCA,0,5,2,ontime,0
RU,EWR,213,IAD,0,5,2,ontime,0
RU,EWR,199,DCA,0,5,2,ontime,0
RU,EWR,199,DCA,0,5,2,ontime,0
RU,EWR,213,IAD,0,5,2,ontime,0
RU,EWR,213,IAD,0,5,2,ontime,0
RU,EWR,213,IAD,0,5,2,ontime,0
RU,EWR,213,IAD,0,5,2,ontime,0
RU,EWR,199,DCA,0,5,2,ontime,0
RU,EWR,199,DCA,0,5,2,ontime,0
RU,EWR,199,DCA,0,5,2,ontime,0
RU,EWR,213,IAD,0,5,2,delayed,0
RU,EWR,199,DCA,0,5,2,ontime,0
DH,LGA,229,IAD,0,6,3,ontime,0
DH,LGA,229,IAD,0,6,3,ontime,23
DH,LGA,229,IAD,0,6,3,ontime,0
DH,LGA,229,IAD,0,6,3,ontime,0
DH,JFK,228,IAD,0,6,3,ontime,15
DH,JFK,228,IAD,0,6,3,ontime,0
DH,JFK,228,IAD,0,6,3,ontime,0
DH,JFK,228,IAD,0,6,3,ontime,9
DH,JFK,228,IAD,0,6,3,ontime,26
DH,JFK,228,IAD,0,6,3,delayed,93
DH,JFK,228,IAD,0,6,3,ontime,0
DH,LGA,229,IAD,0,6,3,ontime,18
DL,JFK,213,DCA,0,6,3,delayed,50
DL,LGA,214,DCA,0,6,3,ontime,0
DL,LGA,214,DCA,0,6,3,ontime,0
DL,LGA,214,DCA,0,6,3,ontime,0
DL,LGA,214,DCA,0,6,3,ontime,0
DL,LGA,214,DCA,0,6,3,ontime,0
DL,LGA,214,DCA,0,6,3,ontime,0
DL,LGA,214,DCA,0,6,3,ontime,0
MQ,JFK,213,DCA,0,6,3,delayed,70
MQ,JFK,213,DCA,0,6,3,ontime,0
MQ,JFK,213,DCA,0,6,3,ontime,0
MQ,LGA,214,DCA,0,6,3,ontime,0
MQ,LGA,214,DCA,0,6,3,ontime,0
UA,LGA,229,IAD,0,6,3,ontime,0
US,LGA,214,DCA,0,6,3,ontime,0
US,LGA,214,DCA,0,6,3,ontime,0
US,LGA,214,DCA,0,6,3,ontime,0
US,LGA,214,DCA,0,6,3,ontime,0
US,LGA,214,DCA,0,6,3,ontime,0
US,LGA,214,DCA,0,6,3,ontime,0
US,LGA,214,DCA,0,6,3,ontime,0
RU,EWR,169,BWI,0,6,3,ontime,0
RU,EWR,169,BWI,0,6,3,ontime,0
RU,EWR,169,BWI,0,6,3,ontime,0
RU,EWR,169,BWI,0,6,3,ontime,0
CO,EWR,199,DCA,0,6,3,ontime,0
DH,EWR,213,IAD,0,6,3,delayed,17
DH,EWR,213,IAD,0,6,3,ontime,0
DH,EWR,213,IAD,0,6,3,delayed,84
DH,EWR,213,IAD,0,6,3,ontime,6
DH,EWR,213,IAD,0,6,3,ontime,0
RU,EWR,213,IAD,0,6,3,ontime,0
RU,EWR,199,DCA,0,6,3,ontime,0
RU,EWR,213,IAD,0,6,3,ontime,0
RU,EWR,199,DCA,0,6,3,ontime,11
RU,EWR,199,DCA,0,6,3,ontime,8
RU,EWR,199,DCA,0,6,3,ontime,0
RU,EWR,213,IAD,0,6,3,ontime,0
RU,EWR,199,DCA,0,6,3,ontime,3
OH,JFK,184,BWI,0,7,4,delayed,150
DH,JFK,213,DCA,0,7,4,ontime,4
DH,LGA,229,IAD,0,7,4,ontime,4
DH,LGA,229,IAD,0,7,4,delayed,80
DH,LGA,229,IAD,0,7,4,delayed,122
DH,LGA,229,IAD,0,7,4,ontime,0
DH,LGA,229,IAD,0,7,4,ontime,0
DH,JFK,228,IAD,0,7,4,ontime,60
DH,JFK,228,IAD,0,7,4,ontime,3
DH,JFK,228,IAD,0,7,4,ontime,49
DH,JFK,228,IAD,0,7,4,ontime,0
DH,JFK,228,IAD,0,7,4,ontime,0
DH,JFK,228,IAD,0,7,4,ontime,0
DH,JFK,228,IAD,0,7,4,ontime,0
DH,LGA,229,IAD,0,7,4,ontime,0
DL,JFK,213,DCA,0,7,4,ontime,45
DL,LGA,214,DCA,0,7,4,ontime,0
DL,LGA,214,DCA,0,7,4,ontime,0
DL,LGA,214,DCA,0,7,4,ontime,0
DL,LGA,214,DCA,0,7,4,ontime,2
DL,LGA,214,DCA,0,7,4,ontime,0
DL,LGA,214,DCA,0,7,4,ontime,2
DL,LGA,214,DCA,0,7,4,ontime,0
MQ,JFK,213,DCA,0,7,4,delayed,4
MQ,JFK,213,DCA,0,7,4,ontime,0
MQ,JFK,213,DCA,0,7,4,ontime,15
MQ,JFK,213,DCA,0,7,4,delayed,28
MQ,LGA,214,DCA,0,7,4,ontime,0
MQ,LGA,214,DCA,0,7,4,delayed,0
MQ,LGA,214,DCA,0,7,4,ontime,0
MQ,LGA,214,DCA,0,7,4,delayed,36
UA,LGA,229,IAD,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
US,LGA,214,DCA,0,7,4,ontime,0
RU,EWR,169,BWI,0,7,4,delayed,160
RU,EWR,169,BWI,0,7,4,delayed,101
RU,EWR,169,BWI,0,7,4,delayed,425
RU,EWR,169,BWI,0,7,4,delayed,205
CO,EWR,199,DCA,0,7,4,ontime,0
CO,EWR,199,DCA,0,7,4,delayed,203
DH,EWR,213,IAD,0,7,4,ontime,17
DH,EWR,213,IAD,0,7,4,delayed,207
DH,EWR,213,IAD,0,7,4,delayed,65
DH,EWR,213,IAD,0,7,4,delayed,101
DH,EWR,213,IAD,0,7,4,delayed,170
RU,EWR,199,DCA,0,7,4,delayed,222
RU,EWR,199,DCA,0,7,4,ontime,0
RU,EWR,213,IAD,0,7,4,ontime,0
RU,EWR,213,IAD,0,7,4,delayed,210
RU,EWR,199,DCA,0,7,4,delayed,0
RU,EWR,199,DCA,0,7,4,delayed,220
RU,EWR,213,IAD,0,7,4,delayed,42
OH,JFK,184,BWI,0,1,5,delayed,155
DH,JFK,213,DCA,0,1,5,delayed,0
DH,LGA,229,IAD,0,1,5,delayed,93
DH,LGA,229,IAD,0,1,5,delayed,151
DH,LGA,229,IAD,0,1,5,delayed,133
DH,LGA,229,IAD,0,1,5,delayed,0
DH,LGA,229,IAD,0,1,5,ontime,15
DH,JFK,228,IAD,0,1,5,delayed,106
DH,JFK,228,IAD,0,1,5,delayed,72
DH,JFK,228,IAD,0,1,5,ontime,55
DH,JFK,228,IAD,0,1,5,ontime,0
DH,JFK,228,IAD,0,1,5,delayed,80
DH,JFK,228,IAD,0,1,5,delayed,41
DH,LGA,229,IAD,0,1,5,ontime,5
DL,JFK,213,DCA,0,1,5,ontime,4
DL,LGA,214,DCA,0,1,5,ontime,0
DL,LGA,214,DCA,0,1,5,ontime,4
DL,LGA,214,DCA,0,1,5,ontime,0
DL,LGA,214,DCA,0,1,5,ontime,2
DL,LGA,214,DCA,0,1,5,ontime,1
DL,LGA,214,DCA,0,1,5,ontime,0
DL,LGA,214,DCA,0,1,5,ontime,0
DL,LGA,214,DCA,0,1,5,ontime,0
DL,LGA,214,DCA,0,1,5,ontime,0
DL,LGA,214,DCA,0,1,5,ontime,5
DL,LGA,214,DCA,0,1,5,ontime,0
DL,LGA,214,DCA,0,1,5,ontime,0
DL,LGA,214,DCA,0,1,5,delayed,25
DL,LGA,214,DCA,0,1,5,ontime,0
MQ,JFK,213,DCA,0,1,5,ontime,8
MQ,JFK,213,DCA,0,1,5,ontime,0
MQ,LGA,214,DCA,0,1,5,ontime,0
MQ,LGA,214,DCA,0,1,5,ontime,0
MQ,LGA,214,DCA,0,1,5,ontime,0
MQ,LGA,214,DCA,0,1,5,ontime,3
MQ,LGA,214,DCA,0,1,5,ontime,0
MQ,LGA,214,DCA,0,1,5,delayed,27
MQ,LGA,214,DCA,0,1,5,ontime,2
MQ,LGA,214,DCA,0,1,5,delayed,49
UA,LGA,229,IAD,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,delayed,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,1
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
US,LGA,214,DCA,0,1,5,ontime,0
RU,EWR,169,BWI,0,1,5,delayed,44
RU,EWR,169,BWI,0,1,5,delayed,72
RU,EWR,169,BWI,0,1,5,delayed,191
CO,EWR,199,DCA,0,1,5,delayed,24
CO,EWR,199,DCA,0,1,5,ontime,0
CO,EWR,199,DCA,0,1,5,delayed,116
DH,EWR,213,IAD,0,1,5,ontime,4
DH,EWR,213,IAD,0,1,5,delayed,210
DH,EWR,213,IAD,0,1,5,delayed,112
DH,EWR,213,IAD,0,1,5,delayed,192
DH,EWR,213,IAD,0,1,5,delayed,106
DH,EWR,213,IAD,0,1,5,ontime,0
RU,EWR,199,DCA,0,1,5,ontime,0
RU,EWR,199,DCA,0,1,5,delayed,156
RU,EWR,213,IAD,0,1,5,delayed,21
RU,EWR,199,DCA,0,1,5,ontime,5
RU,EWR,213,IAD,0,1,5,ontime,0
RU,EWR,199,DCA,0,1,5,delayed,54
RU,EWR,199,DCA,0,1,5,delayed,204
RU,EWR,213,IAD,0,1,5,delayed,87
RU,EWR,213,IAD,0,1,5,ontime,0
RU,EWR,199,DCA,0,1,5,delayed,92
OH,JFK,184,BWI,0,2,6,ontime,0
DH,LGA,229,IAD,0,2,6,ontime,0
DH,LGA,229,IAD,0,2,6,ontime,0
DH,LGA,229,IAD,0,2,6,ontime,37
DH,LGA,229,IAD,0,2,6,ontime,0
DH,LGA,229,IAD,0,2,6,ontime,0
DH,JFK,228,IAD,0,2,6,ontime,15
DH,JFK,228,IAD,0,2,6,ontime,0
DH,JFK,228,IAD,0,2,6,ontime,0
DH,JFK,228,IAD,0,2,6,ontime,0
DH,JFK,228,IAD,0,2,6,delayed,41
DH,JFK,228,IAD,0,2,6,delayed,33
DH,JFK,228,IAD,0,2,6,ontime,0
DH,LGA,229,IAD,0,2,6,ontime,0
DL,JFK,213,DCA,0,2,6,ontime,2
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,0
DL,LGA,214,DCA,0,2,6,ontime,1
MQ,JFK,213,DCA,0,2,6,ontime,18
MQ,JFK,213,DCA,0,2,6,ontime,0
MQ,JFK,213,DCA,0,2,6,ontime,13
MQ,LGA,214,DCA,0,2,6,ontime,0
MQ,LGA,214,DCA,0,2,6,ontime,17
MQ,LGA,214,DCA,0,2,6,ontime,0
MQ,LGA,214,DCA,0,2,6,ontime,0
MQ,LGA,214,DCA,0,2,6,ontime,13
MQ,LGA,214,DCA,0,2,6,ontime,0
MQ,LGA,214,DCA,0,2,6,delayed,35
MQ,LGA,214,DCA,0,2,6,ontime,0
MQ,LGA,214,DCA,0,2,6,ontime,0
MQ,LGA,214,DCA,0,2,6,ontime,4
UA,LGA,229,IAD,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,0
US,LGA,214,DCA,0,2,6,ontime,4
RU,EWR,169,BWI,0,2,6,ontime,0
RU,EWR,169,BWI,0,2,6,delayed,9
RU,EWR,169,BWI,0,2,6,ontime,0
RU,EWR,169,BWI,0,2,6,ontime,7
CO,EWR,199,DCA,0,2,6,delayed,10
CO,EWR,199,DCA,0,2,6,ontime,0
CO,EWR,199,DCA,0,2,6,delayed,0
CO,EWR,199,DCA,0,2,6,ontime,0
DH,EWR,213,IAD,0,2,6,ontime,7
DH,EWR,213,IAD,0,2,6,ontime,0
DH,EWR,213,IAD,0,2,6,ontime,0
DH,EWR,213,IAD,0,2,6,ontime,0
DH,EWR,213,IAD,0,2,6,ontime,5
DH,EWR,213,IAD,0,2,6,ontime,0
RU,EWR,199,DCA,0,2,6,delayed,122
RU,EWR,199,DCA,0,2,6,ontime,0
RU,EWR,213,IAD,0,2,6,delayed,1
RU,EWR,213,IAD,0,2,6,ontime,0
RU,EWR,213,IAD,0,2,6,ontime,0
RU,EWR,199,DCA,0,2,6,delayed,119
RU,EWR,213,IAD,0,2,6,ontime,0
RU,EWR,199,DCA,0,2,6,ontime,0
RU,EWR,213,IAD,0,2,6,ontime,0
RU,EWR,199,DCA,0,2,6,ontime,0
RU,EWR,199,DCA,0,2,6,ontime,0
OH,JFK,184,BWI,0,3,7,ontime,0
DH,JFK,213,DCA,0,3,7,ontime,0
DH,LGA,229,IAD,0,3,7,ontime,61
DH,LGA,229,IAD,0,3,7,ontime,0
DH,LGA,229,IAD,0,3,7,delayed,98
DH,LGA,229,IAD,0,3,7,ontime,0
DH,LGA,229,IAD,0,3,7,ontime,0
DH,JFK,228,IAD,0,3,7,ontime,0
DH,JFK,228,IAD,0,3,7,ontime,0
DH,JFK,228,IAD,0,3,7,ontime,66
DH,JFK,228,IAD,0,3,7,ontime,0
DH,JFK,228,IAD,0,3,7,delayed,207
DH,JFK,228,IAD,0,3,7,ontime,0
DH,JFK,228,IAD,0,3,7,ontime,0
DL,JFK,213,DCA,0,3,7,ontime,46
DL,LGA,214,DCA,0,3,7,ontime,1
DL,LGA,214,DCA,0,3,7,ontime,1
DL,LGA,214,DCA,0,3,7,ontime,2
DL,LGA,214,DCA,0,3,7,ontime,0
DL,LGA,214,DCA,0,3,7,ontime,1
DL,LGA,214,DCA,0,3,7,ontime,1
DL,LGA,214,DCA,0,3,7,ontime,0
DL,LGA,214,DCA,0,3,7,ontime,0
DL,LGA,214,DCA,0,3,7,ontime,0
DL,LGA,214,DCA,0,3,7,ontime,0
DL,LGA,214,DCA,0,3,7,ontime,0
DL,LGA,214,DCA,0,3,7,ontime,0
DL,LGA,214,DCA,0,3,7,ontime,0
DL,LGA,214,DCA,0,3,7,ontime,0
MQ,JFK,213,DCA,0,3,7,ontime,0
MQ,JFK,213,DCA,0,3,7,ontime,0
MQ,JFK,213,DCA,0,3,7,delayed,88
MQ,LGA,214,DCA,0,3,7,ontime,0
MQ,LGA,214,DCA,0,3,7,ontime,0
MQ,LGA,214,DCA,0,3,7,ontime,0
MQ,LGA,214,DCA,0,3,7,ontime,0
MQ,LGA,214,DCA,0,3,7,ontime,0
MQ,LGA,214,DCA,0,3,7,ontime,0
MQ,LGA,214,DCA,0,3,7,delayed,0
MQ,LGA,214,DCA,0,3,7,delayed,24
MQ,LGA,214,DCA,0,3,7,delayed,114
UA,LGA,229,IAD,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,delayed,0
US,LGA,214,DCA,0,3,7,delayed,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,ontime,0
US,LGA,214,DCA,0,3,7,delayed,0
US,LGA,214,DCA,0,3,7,ontime,0
